AQW00061705         252C
USC00284635         239R
USC00284887         158R
USC00284987          94R
USC00285003          21R
USC00285728         369R
USC00286055         176S
USC00286177         121R
USC00286843         278R
USC00286979         119Q
USC00287079         251S
USC00287865          88R
USC00287936         199R
USC00288194         138R
USC00288644          70S
USC00288648          52R
USC00288816         172S
USC00288899         126R
USC00289187         117R
USC00289363         156R
USC00289910         227R
USC00290041         208S
USC00290199         826R
USC00290225         382R
USC00290231         538R
USC00290245         255R
USC00290268         735R
USC00290377         514S
USC00290407           1R
USC00290417         809S
USC00290426         730R
USC00290525         686R
USC00290600         951S
USC00290640          92S
USC00290692         449S
USC00290858         721R
USC00290915         783R
USC00290983         467S
USC00290992        1030R
USC00291063         528S
USC00291138         991R
USC00291153         972R
USC00291180          30R
USC00291286         993S
USC00291332         464R
USC00291440         105S
USC00291445         683Q
USC00291450          40R
USC00291469         982S
USC00291480         674S
USC00291515         419S
USC00291630          21S
USC00291647         345S
USC00291664          16S
USC00291721        1032Q
USC00291813          58S
USC00291840         582R
USC00291883         344Q
USC00291910         493S
USC00291918          65R
USC00291931           0R
USC00291939         578S
USC00291963         591S
USC00291982         519S
USC00292030         808S
USC00292095          55R
USC00292096          47R
USC00292100         489R
USC00292207         698R
USC00292241         119R
USC00292250         326S
USC00292365         793Q
USC00292436         952R
USC00292453          92R
USC00292510         579C
USC00292608         139S
USC00292700           2S
USC00292785          47S
USC00292820         131R
USC00292837         136S
USC00292848         965S
USC00292854         682S
USC00292865          85S
USC00293031         398R
USC00293060         285S
USC00293142         306S
USC00293157         507S
USC00293180         177R
USC00293265         362S
USC00293294         585S
USC00293296         814Q
USC00293340         494S
USC00293368         926R
USC00293428         247Q
USC00293488           2S
USC00293530         253R
USC00293577         601S
USC00293649         267S
USC00293706         151S
USC00293775         913R
USC00293855        1072R
USC00294009         581S
USC00294026         964R
USC00294030         866R
USC00294112         735R
USC00294346        1113S
USC00294366         565Q
USC00294369         320S
USC00294426         891R
USC00294719         413R
USC00294742           2S
USC00294862         111R
USC00294960          69R
USC00295079        1180S
USC00295084          17S
USC00295150         750S
USC00295273         100R
USC00295290          30R
USC00295370        1142R
USC00295490         205S
USC00295516         482R
USC00295560          30S
USC00295617         690C
USC00295754         279R
USC00295908         210R
USC00295937         360C
USC00295960          42C
USC00295965         220R
USC00295968         200Q
USC00296061         378R
USC00296115         704R
USC00296275          10S
USC00296281         954R
USC00296435        1015R
USC00296465         124R
USC00296619         230C
USC00296659         805R
USC00296676         167S
USC00296687         285S
USC00296754         695R
USC00296804         428S
USC00296812          24R
USC00296911         459Q
USC00297008         696S
USC00297180         108R
USC00297226         455S
USC00297254         486R
USC00297279          52S
USC00297280          70S
USC00297323           0S
USC00297340         771R
USC00297386         534R
USC00297477         711Q
USC00297481         773Q
USC00297585         318Q
USC00297605         737Q
USC00297638         108R
USC00297649          21R
USC00297867         753S
USC00298015          73R
USC00298085         168R
USC00298088         118Q
USC00298107         642S
USC00298127         966Q
USC00298284         846R
USC00298387         610S
USC00298501         288R
USC00298518         130S
USC00298524         143R
USC00298535         960S
USC00298596         776S
USC00298668         169R
USC00298713         700S
USC00298830         137R
USC00298834          21R
USC00298845          28S
USC00299031         261S
USC00299085           7R
USC00299128         949R
USC00299156         777C
USC00299165         800S
USC00299284         764Q
USC00299330         160S
USC00299496         362Q
USC00299569        1038R
USC00299660         909R
USC00299686        1050S
USC00299691         179S
USC00299806         172S
USC00299820           0S
USC00299851         509S
USC00300023          52R
USC00300055          56C
USC00300063          32R
USC00300085          33S
USC00300093          13S
USC00300183          30R
USC00300220          11R
USC00300321          56R
USC00300331          69S
USC00300343          63S
USC00300360          55R
USC00300443          32S
USC00300448          66S
USC00300668          13R
USC00300732          50Q
USC00300766          18R
USC00300785           1S
USC00300870          10Q
USC00300889          34S
USC00300961         163Q
USC00301095          99S
USC00301110          23R
USC00301152          61S
USC00301211          30Q
USC00301309          47Q
USC00301387          19R
USC00301401          31S
USC00301436           5S
USC00301595          19R
USC00301623          12R
USC00301625           2Q
USC00301708           6R
USC00301752           4S
USC00301761         106R
USC00301787          24R
USC00301799          61R
USC00301966          11S
USC00301974          77S
USC00302031          17Q
USC00302036          11S
USC00302047          18Q
USC00302060          40S
USC00302129         146S
USC00302169          20Q
USC00302366          14R
USC00302454          26Q
USC00302554          68R
USC00302610          94S
USC00302627          71R
USC00303025          13S
USC00303033          24S
USC00303124           4R
USC00303184          42S
USC00303259         146R
USC00303284          81S
USC00303319          28R
USC00303346          17S
USC00303354          47R
USC00303360           5R
USC00303464          15R
USC00303773          27S
USC00303955          50R
USC00304025         119S
USC00304102       -7777S
USC00304174          36S
USC00304207          43R
USC00304555           9S
USC00304575          55R
USC00304647          19S
USC00304731          17S
USC00304791          42R
USC00304808          11S
USC00304836           0Q
USC00304844          66R
USC00304849          36R
USC00304912          11C
USC00304996           8S
USC00305113          13S
USC00305233           8Q
USC00305310          78S
USC00305334          60R
USC00305377         144R
USC00305426          63S
USC00305512           3R
USC00305597          51R
USC00305714           5R
USC00305796         118R
USC00305840          31R
USC00306047          36Q
USC00306085          38S
